order_id,customer_id,order_date,status,amount,region
1001,C042,2024-01-03,completed,149.99,us-east
1002,C018,2024-01-04,completed,89.50,eu-west
1003,C055,2024-01-05,shipped,212.00,us-west
1004,C007,2024-01-06,completed,34.99,ap-south
1005,C031,2024-01-07,returned,75.00,us-east
1006,C019,2024-01-08,completed,320.45,eu-central
1007,C042,2024-01-09,completed,58.99,us-east
1008,C003,2024-01-10,shipped,189.00,us-west
1009,C027,2024-01-11,completed,99.99,eu-west
1010,C014,2024-01-12,return_pending,45.50,us-east
1011,C062,2024-01-13,completed,275.00,ap-northeast
1012,C038,2024-01-14,completed,129.99,us-east
1013,C009,2024-01-15,placed,55.00,eu-west
1014,C051,2024-01-16,completed,399.00,us-west
1015,C022,2024-01-17,shipped,178.50,ap-south
1016,C007,2024-01-18,completed,92.00,ap-south
1017,C034,2024-01-19,completed,64.99,eu-central
1018,C015,2024-01-20,returned,210.00,us-east
1019,C048,2024-01-21,completed,118.75,us-west
1020,C029,2024-01-22,completed,345.00,eu-west
1021,C011,2024-01-23,shipped,88.00,us-east
1022,C057,2024-01-24,completed,156.25,ap-northeast
1023,C004,2024-01-25,completed,72.99,us-east
1024,C033,2024-01-26,placed,295.00,eu-central
1025,C019,2024-01-27,completed,49.50,eu-central
1026,C042,2024-01-28,completed,183.00,us-east
1027,C016,2024-01-29,shipped,227.50,us-west
1028,C008,2024-01-30,completed,91.00,ap-south
1029,C044,2024-02-01,completed,138.99,us-east
1030,C023,2024-02-02,return_pending,165.00,eu-west
1031,C006,2024-02-03,completed,79.99,us-east
1032,C039,2024-02-04,completed,312.00,us-west
1033,C060,2024-02-05,shipped,58.50,ap-northeast
1034,C017,2024-02-06,completed,244.99,eu-central
1035,C028,2024-02-07,completed,103.75,us-east
1036,C042,2024-02-08,completed,197.00,us-east
1037,C010,2024-02-09,returned,85.00,eu-west
1038,C049,2024-02-10,completed,421.50,us-west
1039,C021,2024-02-11,completed,136.00,ap-south
1040,C005,2024-02-12,shipped,67.99,us-east
1041,C032,2024-02-13,completed,289.00,eu-central
1042,C013,2024-02-14,completed,174.25,us-east
1043,C046,2024-02-15,placed,98.50,ap-northeast
1044,C025,2024-02-16,completed,351.00,us-west
1045,C007,2024-02-17,completed,112.99,ap-south
1046,C058,2024-02-18,completed,63.00,eu-west
1047,C041,2024-02-19,shipped,208.75,us-east
1048,C012,2024-02-20,completed,145.50,eu-central
1049,C037,2024-02-21,completed,92.00,us-west
1050,C020,2024-02-22,completed,187.99,us-east
1051,C053,2024-02-23,return_pending,274.00,ap-northeast
1052,C002,2024-02-24,completed,56.50,us-east
1053,C035,2024-02-25,completed,333.00,eu-west
1054,C024,2024-02-26,shipped,121.99,us-west
1055,C019,2024-02-27,completed,88.00,eu-central
1056,C047,2024-02-28,completed,199.50,us-east
1057,C030,2024-03-01,completed,144.25,ap-south
1058,C042,2024-03-02,completed,267.00,us-east
1059,C043,2024-03-03,placed,79.99,eu-west
1060,C015,2024-03-04,completed,382.50,us-east
1061,C026,2024-03-05,shipped,113.00,us-west
1062,C036,2024-03-06,completed,95.75,ap-northeast
1063,C001,2024-03-07,completed,231.00,eu-central
1064,C050,2024-03-08,returned,68.99,us-east
1065,C018,2024-03-09,completed,175.50,eu-west
1066,C040,2024-03-10,completed,304.00,us-west
1067,C007,2024-03-11,completed,127.25,ap-south
1068,C054,2024-03-12,shipped,89.00,us-east
1069,C031,2024-03-13,completed,218.75,us-east
1070,C045,2024-03-14,completed,156.00,eu-central
1071,C014,2024-03-15,placed,93.50,us-east
1072,C042,2024-03-16,completed,341.99,us-east
1073,C056,2024-03-17,completed,72.00,ap-northeast
1074,C008,2024-03-18,shipped,196.50,ap-south
1075,C023,2024-03-19,completed,248.00,eu-west
1076,C061,2024-03-20,completed,115.75,us-west
1077,C019,2024-03-21,completed,83.99,eu-central
1078,C034,2024-03-22,return_pending,192.00,us-east
1079,C044,2024-03-23,completed,287.50,us-east
1080,C028,2024-03-24,completed,104.25,eu-west
1081,C011,2024-03-25,shipped,169.00,us-east
1082,C052,2024-03-26,completed,225.99,us-west
1083,C033,2024-03-27,completed,78.50,eu-central
1084,C006,2024-03-28,completed,317.00,us-east
1085,C039,2024-03-29,placed,141.75,us-west
1086,C022,2024-03-30,completed,96.00,ap-south
1087,C042,2024-03-31,completed,263.50,us-east
1088,C015,2024-04-01,completed,188.99,us-east
1089,C048,2024-04-02,shipped,74.25,us-west
1090,C029,2024-04-03,completed,309.00,eu-west
1091,C007,2024-04-04,completed,132.50,ap-south
1092,C016,2024-04-05,completed,221.75,us-west
1093,C062,2024-04-06,return_pending,87.00,ap-northeast
1094,C037,2024-04-07,completed,175.25,us-west
1095,C004,2024-04-08,completed,143.00,us-east
1096,C042,2024-04-09,completed,298.50,us-east
1097,C049,2024-04-10,shipped,91.99,us-west
1098,C017,2024-04-11,completed,254.00,eu-central
1099,C024,2024-04-12,completed,116.75,us-west
1100,C058,2024-04-13,completed,372.00,eu-west
