payment_id,order_id,payment_method,amount,status,payment_date
PMT001,1001,credit_card,149.99,success,2024-01-03
PMT002,1002,paypal,89.50,success,2024-01-04
PMT003,1003,credit_card,212.00,success,2024-01-05
PMT004,1004,bank_transfer,34.99,success,2024-01-06
PMT005,1005,credit_card,75.00,refunded,2024-01-14
PMT006,1006,credit_card,320.45,success,2024-01-08
PMT007,1007,paypal,58.99,success,2024-01-09
PMT008,1008,credit_card,189.00,success,2024-01-10
PMT009,1009,bank_transfer,99.99,success,2024-01-11
PMT010,1010,credit_card,45.50,pending,2024-01-12
PMT011,1011,credit_card,275.00,success,2024-01-13
PMT012,1012,paypal,129.99,success,2024-01-14
PMT013,1013,credit_card,55.00,success,2024-01-15
PMT014,1014,credit_card,399.00,success,2024-01-16
PMT015,1015,bank_transfer,178.50,success,2024-01-17
PMT016,1016,paypal,92.00,success,2024-01-18
PMT017,1017,credit_card,64.99,success,2024-01-19
PMT018,1018,credit_card,210.00,refunded,2024-01-27
PMT019,1019,paypal,118.75,success,2024-01-21
PMT020,1020,credit_card,345.00,success,2024-01-22
PMT021,1021,bank_transfer,88.00,success,2024-01-23
PMT022,1022,credit_card,156.25,success,2024-01-24
PMT023,1023,paypal,72.99,success,2024-01-25
PMT024,1024,credit_card,295.00,success,2024-01-26
PMT025,1025,credit_card,49.50,success,2024-01-27
PMT026,1026,paypal,183.00,success,2024-01-28
PMT027,1027,credit_card,227.50,success,2024-01-29
PMT028,1028,bank_transfer,91.00,success,2024-01-30
PMT029,1029,credit_card,138.99,success,2024-02-01
PMT030,1030,paypal,165.00,pending,2024-02-02
PMT031,1031,credit_card,79.99,success,2024-02-03
PMT032,1032,credit_card,312.00,success,2024-02-04
PMT033,1033,bank_transfer,58.50,success,2024-02-05
PMT034,1034,paypal,244.99,success,2024-02-06
PMT035,1035,credit_card,103.75,success,2024-02-07
PMT036,1036,credit_card,197.00,success,2024-02-08
PMT037,1037,paypal,85.00,refunded,2024-02-17
PMT038,1038,credit_card,421.50,success,2024-02-10
PMT039,1039,bank_transfer,136.00,success,2024-02-11
PMT040,1040,credit_card,67.99,success,2024-02-12
PMT041,1041,paypal,289.00,success,2024-02-13
PMT042,1042,credit_card,174.25,success,2024-02-14
PMT043,1043,credit_card,98.50,success,2024-02-15
PMT044,1044,bank_transfer,351.00,success,2024-02-16
PMT045,1045,paypal,112.99,success,2024-02-17
PMT046,1046,credit_card,63.00,success,2024-02-18
PMT047,1047,credit_card,208.75,success,2024-02-19
PMT048,1048,paypal,145.50,success,2024-02-20
PMT049,1049,credit_card,92.00,success,2024-02-21
PMT050,1050,bank_transfer,187.99,success,2024-02-22
PMT051,1051,credit_card,274.00,pending,2024-02-23
PMT052,1052,paypal,56.50,success,2024-02-24
PMT053,1053,credit_card,333.00,success,2024-02-25
PMT054,1054,credit_card,121.99,success,2024-02-26
PMT055,1055,bank_transfer,88.00,success,2024-02-27
PMT056,1056,paypal,199.50,success,2024-02-28
PMT057,1057,credit_card,144.25,success,2024-03-01
PMT058,1058,credit_card,267.00,success,2024-03-02
PMT059,1059,paypal,79.99,success,2024-03-03
PMT060,1060,bank_transfer,382.50,success,2024-03-04
PMT061,1061,credit_card,113.00,success,2024-03-05
PMT062,1062,paypal,95.75,success,2024-03-06
PMT063,1063,credit_card,231.00,success,2024-03-07
PMT064,1064,credit_card,68.99,refunded,2024-03-16
PMT065,1065,bank_transfer,175.50,success,2024-03-09
PMT066,1066,paypal,304.00,success,2024-03-10
PMT067,1067,credit_card,127.25,success,2024-03-11
PMT068,1068,credit_card,89.00,success,2024-03-12
PMT069,1069,paypal,218.75,success,2024-03-13
PMT070,1070,bank_transfer,156.00,success,2024-03-14
PMT071,1071,credit_card,93.50,success,2024-03-15
PMT072,1072,credit_card,341.99,success,2024-03-16
PMT073,1073,paypal,72.00,success,2024-03-17
PMT074,1074,credit_card,196.50,success,2024-03-18
PMT075,1075,bank_transfer,248.00,success,2024-03-19
PMT076,1076,credit_card,115.75,success,2024-03-20
PMT077,1077,paypal,83.99,success,2024-03-21
PMT078,1078,credit_card,192.00,pending,2024-03-22
PMT079,1079,credit_card,287.50,success,2024-03-23
PMT080,1080,bank_transfer,104.25,success,2024-03-24
PMT081,1081,paypal,169.00,success,2024-03-25
PMT082,1082,credit_card,225.99,success,2024-03-26
PMT083,1083,credit_card,78.50,success,2024-03-27
PMT084,1084,paypal,317.00,success,2024-03-28
PMT085,1085,bank_transfer,141.75,success,2024-03-29
PMT086,1086,credit_card,96.00,success,2024-03-30
PMT087,1087,credit_card,263.50,success,2024-03-31
PMT088,1088,paypal,188.99,success,2024-04-01
PMT089,1089,credit_card,74.25,success,2024-04-02
PMT090,1090,bank_transfer,309.00,success,2024-04-03
PMT091,1091,credit_card,132.50,success,2024-04-04
PMT092,1092,paypal,221.75,success,2024-04-05
PMT093,1093,credit_card,87.00,pending,2024-04-06
PMT094,1094,credit_card,175.25,success,2024-04-07
PMT095,1095,bank_transfer,143.00,success,2024-04-08
PMT096,1096,paypal,298.50,success,2024-04-09
PMT097,1097,credit_card,91.99,success,2024-04-10
PMT098,1098,credit_card,254.00,success,2024-04-11
PMT099,1099,paypal,116.75,success,2024-04-12
PMT100,1100,credit_card,372.00,success,2024-04-13
